1,UDP,172.16.243.6,224.0.0.251,5353,5353,,,,60,720 Bytes,"2,440 Bytes",0.0 KB/Sec,10/14/2022 11:29:43 AM:996,10/14/2022 11:31:02 AM:842,00:01:18.845,,,,
2,UDP,172.16.242.30,224.0.0.251,5353,5353,,,,28,"11,121 Bytes","12,344 Bytes",0.1 KB/Sec,10/14/2022 11:29:44 AM:001,10/14/2022 11:31:04 AM:072,00:01:20.070,,,,
3,UDP,172.16.243.125,224.0.0.251,5353,5353,,,,18,"7,226 Bytes","8,162 Bytes",0.1 KB/Sec,10/14/2022 11:29:44 AM:010,10/14/2022 11:31:03 AM:972,00:01:19.961,,,,
4,UDP,172.16.241.207,239.255.255.250,49294,1900,,,ssdp,18,"2,466 Bytes","3,135 Bytes",0.0 KB/Sec,10/14/2022 11:29:44 AM:907,10/14/2022 11:30:40 AM:824,00:00:55.916,,,,
5,UDP,172.16.241.207,172.16.240.151,49294,1900,,,ssdp,8,"3,888 Bytes","4,626 Bytes",0.1 KB/Sec,10/14/2022 11:29:44 AM:950,10/14/2022 11:30:40 AM:834,00:00:55.883,,,,
6,TCP,172.16.241.207,172.16.242.30,58777,8009,,,,94,"12,741 Bytes","16,795 Bytes",0.1 KB/Sec,10/14/2022 11:29:44 AM:962,10/14/2022 11:31:13 AM:590,00:01:28.628,,,,
7,TCP,172.16.241.207,172.16.242.30,58901,8009,,,,77,"5,524 Bytes","8,874 Bytes",0.1 KB/Sec,10/14/2022 11:29:44 AM:991,10/14/2022 11:31:10 AM:540,00:01:25.549,,,,
8,TCP,172.16.241.207,172.16.243.125,58776,8009,,,,74,"4,950 Bytes","8,180 Bytes",0.1 KB/Sec,10/14/2022 11:29:45 AM:247,10/14/2022 11:31:11 AM:887,00:01:26.639,,,,
9,TCP,172.16.241.207,172.16.243.125,58784,8009,,,,70,"4,950 Bytes","8,020 Bytes",0.1 KB/Sec,10/14/2022 11:29:45 AM:288,10/14/2022 11:31:14 AM:353,00:01:29.065,,,,
10,UDP,192.168.0.1,255.255.255.255,59348,29810,,,,2,735 Bytes,"1,187 Bytes",0.1 KB/Sec,10/14/2022 11:29:45 AM:319,10/14/2022 11:29:55 AM:457,00:00:10.138,,,,
11,UDP,192.168.0.1,255.255.255.255,47405,29810,,,,2,734 Bytes,"1,185 Bytes",0.1 KB/Sec,10/14/2022 11:29:45 AM:630,10/14/2022 11:29:55 AM:671,00:00:10.040,,,,
12,UDP,192.168.0.1,255.255.255.255,59064,29810,,,,3,"1,101 Bytes","1,580 Bytes",0.0 KB/Sec,10/14/2022 11:29:46 AM:134,10/14/2022 11:30:46 AM:973,00:01:00.838,,,,
13,UDP,192.168.0.1,255.255.255.255,49340,29810,,,,2,735 Bytes,"1,187 Bytes",0.1 KB/Sec,10/14/2022 11:29:46 AM:753,10/14/2022 11:29:56 AM:892,00:00:10.139,,,,
14,TCP,172.16.241.207,172.16.242.165,58940,8009,,,,6,684 Bytes,"1,481 Bytes",0.1 KB/Sec,10/14/2022 11:29:47 AM:526,10/14/2022 11:29:57 AM:545,00:00:10.018,,,,
15,UDP,172.16.243.72,172.16.243.255,57621,57621,,,,1,40 Bytes,136 Bytes,,10/14/2022 11:29:47 AM:781,10/14/2022 11:29:47 AM:781,00:00:00.000,,,,
16,UDP,172.16.242.191,224.0.0.251,5353,5353,,,,12,"2,847 Bytes","3,377 Bytes",0.0 KB/Sec,10/14/2022 11:29:47 AM:996,10/14/2022 11:31:04 AM:072,00:01:16.075,,,,
17,UDP,172.16.243.72,224.0.0.251,5353,5353,,,,5,385 Bytes,630 Bytes,0.0 KB/Sec,10/14/2022 11:29:48 AM:902,10/14/2022 11:30:50 AM:863,00:01:01.960,,,,
18,TCP,172.16.241.207,172.16.242.165,58941,8009,,,,6,684 Bytes,"1,481 Bytes",0.1 KB/Sec,10/14/2022 11:29:48 AM:950,10/14/2022 11:29:58 AM:981,00:00:10.031,,,,
19,UDP,192.168.0.1,255.255.255.255,57751,29810,,,,3,"1,103 Bytes","1,583 Bytes",0.0 KB/Sec,10/14/2022 11:29:49 AM:319,10/14/2022 11:30:50 AM:142,00:01:00.823,,,,
20,UDP,192.168.0.1,255.255.255.255,38076,29810,,,,3,"1,101 Bytes","1,580 Bytes",0.0 KB/Sec,10/14/2022 11:29:49 AM:521,10/14/2022 11:30:40 AM:335,00:00:50.814,,,,
21,UDP,172.16.242.134,172.16.243.255,51505,15600,,,,1,35 Bytes,126 Bytes,,10/14/2022 11:29:49 AM:617,10/14/2022 11:29:49 AM:617,00:00:00.000,,,,
22,UDP,172.16.240.186,224.0.0.251,39655,5353,,,,1,44 Bytes,144 Bytes,,10/14/2022 11:29:49 AM:725,10/14/2022 11:29:49 AM:725,00:00:00.000,,,,
23,UDP,172.16.240.186,224.0.0.251,54537,5353,,,,1,44 Bytes,144 Bytes,,10/14/2022 11:29:49 AM:726,10/14/2022 11:29:49 AM:726,00:00:00.000,,,,
24,UDP,172.16.240.186,224.0.0.251,55755,5353,,,,1,44 Bytes,144 Bytes,,10/14/2022 11:29:49 AM:823,10/14/2022 11:29:49 AM:823,00:00:00.000,,,,
25,UDP,192.168.0.1,255.255.255.255,49793,29810,,,,4,"1,468 Bytes","1,975 Bytes",0.0 KB/Sec,10/14/2022 11:29:49 AM:831,10/14/2022 11:31:00 AM:781,00:01:10.949,,,,
26,UDP,172.16.240.186,224.0.0.251,55442,5353,,,,1,44 Bytes,144 Bytes,,10/14/2022 11:29:50 AM:037,10/14/2022 11:29:50 AM:037,00:00:00.000,,,,
