1,UDP,192.168.137.84,172.217.167.174,49174,443,LAPTOP-54PG1OGH.mshome.net,bom12s01-in-f14.1e100.net,https,73,"43,280 Bytes","46,023 Bytes",1.0 KB/Sec,11/7/2022 4:33:19 PM:395,11/7/2022 4:34:01 PM:574,00:00:42.179,,,,
2,UDP,192.168.137.84,142.250.66.10,50442,443,LAPTOP-54PG1OGH.mshome.net,bom07s35-in-f10.1e100.net,https,"1,362","79,625 Bytes","117,822 Bytes",0.1 KB/Sec,11/7/2022 4:33:19 PM:425,11/7/2022 4:52:02 PM:844,00:18:43.418,,,,
3,UDP,192.168.137.84,142.250.66.14,51704,443,LAPTOP-54PG1OGH.mshome.net,bom07s35-in-f14.1e100.net,https,874,"434,154 Bytes","458,687 Bytes",4.4 KB/Sec,11/7/2022 4:33:19 PM:979,11/7/2022 4:34:56 PM:215,00:01:36.236,,,,
4,UDP,192.168.137.84,192.168.137.1,54902,53,LAPTOP-54PG1OGH.mshome.net,DESKTOP-BROM922.mshome.net,domain,2,196 Bytes,324 Bytes,,11/7/2022 4:33:19 PM:979,11/7/2022 4:33:19 PM:979,00:00:00.000,,,,
5,TCP,192.168.137.84,35.197.154.200,56314,443,LAPTOP-54PG1OGH.mshome.net,rest.gti.mcafee.akadns.net,https,9,255 Bytes,848 Bytes,0.0 KB/Sec,11/7/2022 4:33:19 PM:981,11/7/2022 4:34:24 PM:174,00:01:04.193,,,,
6,TCP,192.168.137.84,204.79.197.200,56307,443,LAPTOP-54PG1OGH.mshome.net,a-0001.a-msedge.net,https,47,"62,194 Bytes","64,196 Bytes",0.5 KB/Sec,11/7/2022 4:33:19 PM:982,11/7/2022 4:35:28 PM:174,00:02:08.192,,,,
7,UDP,192.168.137.84,172.217.160.170,54282,443,LAPTOP-54PG1OGH.mshome.net,bom05s12-in-f10.1e100.net,https,9,519 Bytes,"1,040 Bytes",1.7 KB/Sec,11/7/2022 4:33:21 PM:410,11/7/2022 4:33:21 PM:709,00:00:00.298,,,,
8,TCP,192.168.137.84,117.18.232.200,56272,443,LAPTOP-54PG1OGH.mshome.net,,https,2,213 Bytes,546 Bytes,0.0 KB/Sec,11/7/2022 4:33:21 PM:909,11/7/2022 4:33:31 PM:518,00:00:09.609,,,,
9,TCP,192.168.137.84,35.174.210.7,56060,443,LAPTOP-54PG1OGH.mshome.net,ec2-35-174-210-7.compute-1.amazonaws.com,https,866,"82,545 Bytes","117,345 Bytes",0.0 KB/Sec,11/7/2022 4:33:24 PM:551,11/7/2022 5:32:10 PM:573,00:58:46.022,,,,
10,TCP,192.168.137.84,18.235.71.49,56062,443,LAPTOP-54PG1OGH.mshome.net,ec2-18-235-71-49.compute-1.amazonaws.com,https,377,"20,063 Bytes","35,338 Bytes",0.0 KB/Sec,11/7/2022 4:33:24 PM:552,11/7/2022 5:32:21 PM:854,00:58:57.302,,,,
11,UDP,192.168.137.84,192.168.137.1,57747,53,LAPTOP-54PG1OGH.mshome.net,DESKTOP-BROM922.mshome.net,domain,2,397 Bytes,514 Bytes,24.2 KB/Sec,11/7/2022 4:33:42 PM:040,11/7/2022 4:33:42 PM:045,00:00:00.005,,,,
12,TCP,192.168.137.84,142.250.182.238,56315,443,LAPTOP-54PG1OGH.mshome.net,youtube-ui.l.google.com,https,15,"3,363 Bytes","4,604 Bytes",13.1 KB/Sec,11/7/2022 4:33:42 PM:077,11/7/2022 4:33:42 PM:328,00:00:00.250,,,,
13,UDP,192.168.137.84,192.168.137.1,57200,53,LAPTOP-54PG1OGH.mshome.net,DESKTOP-BROM922.mshome.net,domain,2,188 Bytes,310 Bytes,5.9 KB/Sec,11/7/2022 4:33:44 PM:303,11/7/2022 4:33:44 PM:330,00:00:00.027,,,,
14,TCP,192.168.137.84,20.44.229.112,56316,443,LAPTOP-54PG1OGH.mshome.net,activity-geo.trafficmanager.net,https,48,"23,397 Bytes","25,660 Bytes",0.2 KB/Sec,11/7/2022 4:33:44 PM:442,11/7/2022 4:35:45 PM:035,00:02:00.593,,,,
15,TCP,192.168.137.84,142.251.42.110,56304,443,LAPTOP-54PG1OGH.mshome.net,youtube-ui.l.google.com,https,5,1 Bytes,254 Bytes,0.0 KB/Sec,11/7/2022 4:33:47 PM:128,11/7/2022 4:34:23 PM:578,00:00:36.450,,,,
16,TCP,192.168.137.84,142.250.183.1,56305,443,LAPTOP-54PG1OGH.mshome.net,bom07s30-in-f1.1e100.net,https,5,1 Bytes,254 Bytes,0.0 KB/Sec,11/7/2022 4:33:47 PM:398,11/7/2022 4:34:23 PM:578,00:00:36.180,,,,
17,UDP,192.168.137.84,142.250.192.99,59988,443,LAPTOP-54PG1OGH.mshome.net,bom12s17-in-f3.1e100.net,https,19,"6,917 Bytes","8,727 Bytes",24.0 KB/Sec,11/7/2022 4:33:47 PM:766,11/7/2022 4:33:48 PM:055,00:00:00.288,,,,
18,TCP,192.168.137.84,162.247.241.14,56285,443,LAPTOP-54PG1OGH.mshome.net,,https,441,"65,341 Bytes","83,514 Bytes",0.0 KB/Sec,11/7/2022 4:33:49 PM:062,11/7/2022 5:12:06 PM:952,00:38:17.890,,,,
19,TCP,192.168.137.84,142.251.12.188,56085,5228,LAPTOP-54PG1OGH.mshome.net,se-in-f188.1e100.net,,105,101 Bytes,"4,918 Bytes",0.0 KB/Sec,11/7/2022 4:33:49 PM:627,11/7/2022 5:12:06 PM:646,00:38:17.018,,,,
