Index,Protocol,Local Address,Remote Address,Local Port,Remote Port,Local Host,Remote Host,Service Name,Packets,Data Size,Total Size,Data Speed,Capture Time,Last Packet Time,Duration
37,TCP,10.0.2.15,40.99.34.210,49742,443,,,https,38,"8,071 Bytes","9,836 Bytes",41.9 KB/Sec,10/25/2022 8:39:50 AM:738,10/25/2022 8:41:36 AM:464,01:45.7
38,TCP,10.0.2.15,41.63.105.128,49743,80,,https-41-63-105-128.hyd.llnw.net,http,"2,453","2,508,582 Bytes","2,607,076 Bytes",1066.5 KB/Sec,10/25/2022 8:39:54 AM:915,10/25/2022 8:45:25 AM:948,05:31.0
39,UDP,10.0.2.15,192.168.0.1,53905,53,,,domain,2,224 Bytes,355 Bytes,,10/25/2022 8:40:00 AM:010,10/25/2022 8:40:00 AM:010,00:00.0
40,TCP,10.0.2.15,104.208.16.88,49744,443,,,https,37,"15,205 Bytes","16,939 Bytes",989.9 KB/Sec,10/25/2022 8:40:00 AM:322,10/25/2022 8:40:02 AM:183,00:01.9
41,TCP,10.0.2.15,104.120.131.18,49675,443,,a104-120-131-18.deploy.static.akamaitechnologies.com,https,2,31 Bytes,182 Bytes,,10/25/2022 8:40:01 AM:682,10/25/2022 8:40:01 AM:682,00:00.0
42,UDP,10.0.2.15,239.255.255.250,49224,1900,,,ssdp,6,822 Bytes,"1,155 Bytes",,10/25/2022 8:40:02 AM:916,10/25/2022 8:40:08 AM:933,00:06.0
43,TCP,10.0.2.15,104.120.154.29,49687,443,,a104-120-154-29.deploy.static.akamaitechnologies.com,https,2,31 Bytes,182 Bytes,,10/25/2022 8:40:02 AM:948,10/25/2022 8:40:02 AM:963,00:00.0
44,TCP,10.0.2.15,104.120.154.29,49686,443,,a104-120-154-29.deploy.static.akamaitechnologies.com,https,2,31 Bytes,182 Bytes,,10/25/2022 8:40:02 AM:948,10/25/2022 8:40:02 AM:963,00:00.0
45,TCP,10.0.2.15,104.120.154.29,49685,443,,a104-120-154-29.deploy.static.akamaitechnologies.com,https,2,31 Bytes,182 Bytes,,10/25/2022 8:40:02 AM:948,10/25/2022 8:40:02 AM:963,00:00.0
46,TCP,10.0.2.15,104.120.154.29,49682,443,,a104-120-154-29.deploy.static.akamaitechnologies.com,https,2,31 Bytes,182 Bytes,,10/25/2022 8:40:02 AM:948,10/25/2022 8:40:02 AM:963,00:00.0
47,TCP,10.0.2.15,104.120.154.29,49680,443,,a104-120-154-29.deploy.static.akamaitechnologies.com,https,2,31 Bytes,182 Bytes,,10/25/2022 8:40:02 AM:948,10/25/2022 8:40:02 AM:963,00:00.0
48,TCP,10.0.2.15,104.120.154.29,49697,443,,a104-120-154-29.deploy.static.akamaitechnologies.com,https,2,31 Bytes,182 Bytes,,10/25/2022 8:40:02 AM:979,10/25/2022 8:40:02 AM:979,00:00.0
49,TCP,10.0.2.15,104.120.154.29,49695,443,,a104-120-154-29.deploy.static.akamaitechnologies.com,https,2,31 Bytes,182 Bytes,,10/25/2022 8:40:02 AM:979,10/25/2022 8:40:02 AM:979,00:00.0
50,TCP,10.0.2.15,104.120.154.29,49693,443,,a104-120-154-29.deploy.static.akamaitechnologies.com,https,2,31 Bytes,182 Bytes,,10/25/2022 8:40:02 AM:979,10/25/2022 8:40:02 AM:979,00:00.0
51,TCP,10.0.2.15,183.82.12.193,49681,443,,broadband.actcorp.in,https,2,31 Bytes,182 Bytes,,10/25/2022 8:40:03 AM:229,10/25/2022 8:40:03 AM:229,00:00.0
52,UDP,10.0.2.15,192.168.0.1,63407,53,,,domain,2,266 Bytes,409 Bytes,,10/25/2022 8:40:20 AM:214,10/25/2022 8:40:20 AM:214,00:00.0
