Index,Protocol,Local Address,Remote Address,Local Port,Remote Port,Local Host,Remote Host,Service Name,Packets,Data Size,Total Size,Data Speed,Capture Time,Last Packet Time,Duration
11158,UDP,10.15.13.182,10.0.2.4,57921,32471,Likhita-PC,,,1,"1,472 Bytes","3,000 Bytes",,11/8/2022 12:53:55 PM:810,11/8/2022 12:53:55 PM:810,00:00.0
11159,UDP,10.15.13.182,10.0.2.4,57921,32472,Likhita-PC,,,1,"1,472 Bytes","3,000 Bytes",,11/8/2022 12:53:55 PM:811,11/8/2022 12:53:55 PM:811,00:00.0
11160,UDP,10.15.13.182,10.0.2.4,57921,32473,Likhita-PC,,,1,"1,472 Bytes","3,000 Bytes",,11/8/2022 12:53:55 PM:813,11/8/2022 12:53:55 PM:813,00:00.0
11161,UDP,10.15.13.182,10.0.2.4,57921,32474,Likhita-PC,,,1,"1,472 Bytes","3,000 Bytes",,11/8/2022 12:53:55 PM:814,11/8/2022 12:53:55 PM:814,00:00.0
11162,UDP,10.15.13.182,10.0.2.4,57921,32475,Likhita-PC,,,1,"1,472 Bytes","3,000 Bytes",,11/8/2022 12:53:55 PM:815,11/8/2022 12:53:55 PM:815,00:00.0
11163,UDP,10.15.13.182,10.0.2.4,57921,32476,Likhita-PC,,,1,"1,472 Bytes","3,000 Bytes",,11/8/2022 12:53:55 PM:816,11/8/2022 12:53:55 PM:816,00:00.0
11164,UDP,10.15.13.182,10.0.2.4,57921,32477,Likhita-PC,,,1,"1,472 Bytes","3,000 Bytes",,11/8/2022 12:53:55 PM:817,11/8/2022 12:53:55 PM:817,00:00.0
11165,UDP,10.15.13.182,10.0.2.4,57921,32478,Likhita-PC,,,1,"1,472 Bytes","3,000 Bytes",,11/8/2022 12:53:55 PM:818,11/8/2022 12:53:55 PM:818,00:00.0
11166,UDP,10.15.13.182,10.0.2.4,57921,32479,Likhita-PC,,,1,"1,472 Bytes","3,000 Bytes",,11/8/2022 12:53:55 PM:819,11/8/2022 12:53:55 PM:819,00:00.0
11167,UDP,10.15.13.182,10.0.2.4,57921,32480,Likhita-PC,,,1,"1,472 Bytes","3,000 Bytes",,11/8/2022 12:53:55 PM:820,11/8/2022 12:53:55 PM:820,00:00.0
11168,UDP,10.15.13.182,10.0.2.4,57921,32481,Likhita-PC,,,1,"1,472 Bytes","3,000 Bytes",,11/8/2022 12:53:55 PM:821,11/8/2022 12:53:55 PM:821,00:00.0
11169,UDP,10.15.13.182,10.0.2.4,57921,32482,Likhita-PC,,,1,"1,472 Bytes","3,000 Bytes",,11/8/2022 12:53:55 PM:822,11/8/2022 12:53:55 PM:822,00:00.0
11170,UDP,10.15.13.182,10.0.2.4,57921,32483,Likhita-PC,,,1,"1,472 Bytes","3,000 Bytes",,11/8/2022 12:53:55 PM:823,11/8/2022 12:53:55 PM:823,00:00.0
11171,UDP,10.15.13.182,10.0.2.4,57921,32484,Likhita-PC,,,1,"1,472 Bytes","3,000 Bytes",,11/8/2022 12:53:55 PM:824,11/8/2022 12:53:55 PM:824,00:00.0
11172,UDP,10.15.13.182,10.0.2.4,57921,32485,Likhita-PC,,,1,"1,472 Bytes","3,000 Bytes",,11/8/2022 12:53:55 PM:825,11/8/2022 12:53:55 PM:825,00:00.0
11173,UDP,10.15.13.182,10.0.2.4,57921,32486,Likhita-PC,,,1,"1,472 Bytes","3,000 Bytes",,11/8/2022 12:53:55 PM:827,11/8/2022 12:53:55 PM:827,00:00.0
11174,UDP,10.15.13.182,10.0.2.4,57921,32487,Likhita-PC,,,1,"1,472 Bytes","3,000 Bytes",,11/8/2022 12:53:55 PM:828,11/8/2022 12:53:55 PM:828,00:00.0
11175,UDP,10.15.13.182,10.0.2.4,57921,32488,Likhita-PC,,,1,"1,472 Bytes","3,000 Bytes",,11/8/2022 12:53:55 PM:828,11/8/2022 12:53:55 PM:828,00:00.0
11176,UDP,10.15.13.182,10.0.2.4,57921,32489,Likhita-PC,,,1,"1,472 Bytes","3,000 Bytes",,11/8/2022 12:53:55 PM:829,11/8/2022 12:53:55 PM:829,00:00.0
