Index,Protocol,Local Address,Remote Address,Local Port,Remote Port,Local Host,Remote Host,Service Name,Packets,Data Size,Total Size,Data Speed,Capture Time,Last Packet Time,Duration
31,UDP,192.168.0.191,10.0.2.15,50554,29,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",,10/26/2022 12:36:26 PM:810,10/26/2022 12:36:26 PM:811,00:00.0
32,UDP,192.168.0.191,10.0.2.15,50554,30,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",,10/26/2022 12:36:26 PM:812,10/26/2022 12:36:26 PM:813,00:00.0
33,UDP,192.168.0.191,10.0.2.15,50554,31,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",,10/26/2022 12:36:26 PM:813,10/26/2022 12:36:26 PM:814,00:00.0
34,UDP,192.168.0.191,10.0.2.15,50554,32,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",,10/26/2022 12:36:26 PM:814,10/26/2022 12:36:26 PM:815,00:00.0
35,UDP,192.168.0.191,10.0.2.15,50554,33,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",,10/26/2022 12:36:26 PM:816,10/26/2022 12:36:26 PM:817,00:00.0
36,UDP,192.168.0.191,10.0.2.15,50554,34,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",,10/26/2022 12:36:26 PM:818,10/26/2022 12:36:26 PM:818,00:00.0
37,UDP,192.168.0.191,10.0.2.15,50554,35,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",,10/26/2022 12:36:26 PM:819,10/26/2022 12:36:26 PM:820,00:00.0
38,UDP,192.168.0.191,10.0.2.15,50554,36,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",179.7 KB/Sec,10/26/2022 12:36:26 PM:820,10/26/2022 12:36:26 PM:822,00:00.0
39,UDP,192.168.0.191,10.0.2.15,50554,37,Sumedha,,time,2,"2,944 Bytes","4,500 Bytes",,10/26/2022 12:36:26 PM:822,10/26/2022 12:36:26 PM:823,00:00.0
40,UDP,192.168.0.191,10.0.2.15,50554,38,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",,10/26/2022 12:36:26 PM:824,10/26/2022 12:36:26 PM:825,00:00.0
41,UDP,192.168.0.191,10.0.2.15,50554,39,Sumedha,,rlp,2,"2,944 Bytes","4,500 Bytes",,10/26/2022 12:36:26 PM:825,10/26/2022 12:36:26 PM:827,00:00.0
42,UDP,192.168.0.191,10.0.2.15,50554,40,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",,10/26/2022 12:36:26 PM:828,10/26/2022 12:36:26 PM:828,00:00.0
43,UDP,192.168.0.191,10.0.2.15,50554,41,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",,10/26/2022 12:36:26 PM:829,10/26/2022 12:36:26 PM:829,00:00.0
44,UDP,192.168.0.191,10.0.2.15,50554,42,Sumedha,,nameserver,2,"2,944 Bytes","4,500 Bytes",,10/26/2022 12:36:26 PM:830,10/26/2022 12:36:26 PM:830,00:00.0
45,UDP,192.168.0.191,10.0.2.15,50554,43,Sumedha,,nicname,2,"2,944 Bytes","4,500 Bytes",,10/26/2022 12:36:26 PM:831,10/26/2022 12:36:26 PM:832,00:00.0
46,UDP,192.168.0.191,10.0.2.15,50554,44,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",,10/26/2022 12:36:26 PM:833,10/26/2022 12:36:26 PM:833,00:00.0
47,UDP,192.168.0.191,10.0.2.15,50554,45,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",,10/26/2022 12:36:26 PM:834,10/26/2022 12:36:26 PM:836,00:00.0
48,UDP,192.168.0.191,10.0.2.15,50554,46,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",191.7 KB/Sec,10/26/2022 12:36:26 PM:837,10/26/2022 12:36:26 PM:838,00:00.0
49,UDP,192.168.0.191,10.0.2.15,50554,47,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",,10/26/2022 12:36:26 PM:838,10/26/2022 12:36:26 PM:839,00:00.0
50,UDP,192.168.0.191,10.0.2.15,50554,48,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",,10/26/2022 12:36:26 PM:842,10/26/2022 12:36:26 PM:843,00:00.0
51,UDP,192.168.0.191,10.0.2.15,50554,49,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",,10/26/2022 12:36:26 PM:843,10/26/2022 12:36:26 PM:844,00:00.0
52,UDP,192.168.0.191,10.0.2.15,50554,50,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",,10/26/2022 12:36:26 PM:845,10/26/2022 12:36:26 PM:845,00:00.0
53,UDP,192.168.0.191,10.0.2.15,50554,51,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",,10/26/2022 12:36:26 PM:846,10/26/2022 12:36:26 PM:846,00:00.0
54,UDP,192.168.0.191,10.0.2.15,50554,52,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",,10/26/2022 12:36:26 PM:847,10/26/2022 12:36:26 PM:848,00:00.0
55,UDP,192.168.0.191,10.0.2.15,50554,54,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",,10/26/2022 12:36:26 PM:848,10/26/2022 12:36:26 PM:849,00:00.0
56,UDP,192.168.0.191,10.0.2.15,50554,55,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",,10/26/2022 12:36:26 PM:849,10/26/2022 12:36:26 PM:850,00:00.0
57,UDP,192.168.0.191,10.0.2.15,50554,56,Sumedha,,,1,"1,472 Bytes","3,000 Bytes",,10/26/2022 12:36:26 PM:851,10/26/2022 12:36:26 PM:851,00:00.0
58,UDP,192.168.0.191,10.0.2.15,50554,53,Sumedha,,domain,1,"1,472 Bytes","3,000 Bytes",,10/26/2022 12:36:26 PM:852,10/26/2022 12:36:26 PM:852,00:00.0
59,UDP,192.168.0.191,10.0.2.15,50554,57,Sumedha,,,1,"1,472 Bytes","3,000 Bytes",,10/26/2022 12:36:26 PM:852,10/26/2022 12:36:26 PM:852,00:00.0
60,UDP,192.168.0.191,10.0.2.15,50554,58,Sumedha,,,1,"1,472 Bytes","3,000 Bytes",,10/26/2022 12:36:26 PM:852,10/26/2022 12:36:26 PM:852,00:00.0
61,UDP,192.168.0.191,10.0.2.15,50554,59,Sumedha,,,1,"1,472 Bytes","3,000 Bytes",,10/26/2022 12:36:26 PM:853,10/26/2022 12:36:26 PM:853,00:00.0
62,UDP,192.168.0.191,10.0.2.15,50554,60,Sumedha,,,1,"1,472 Bytes","3,000 Bytes",,10/26/2022 12:36:26 PM:853,10/26/2022 12:36:26 PM:853,00:00.0
