Index,Protocol,Local Address,Remote Address,Local Port,Remote Port,Local Host,Remote Host,Service Name,Packets,Data Size,Total Size,Data Speed,Capture Time,Last Packet Time,Duration
5327,UDP,10.15.13.179,10.0.2.4,54793,31573,Sumedha,,,4,"5,888 Bytes","7,500 Bytes",0.1 KB/Sec,11/8/2022 12:15:36 PM:992,11/8/2022 12:17:16 PM:314,01:39.3
5328,UDP,10.15.13.179,10.0.2.4,54793,31574,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",0.0 KB/Sec,11/8/2022 12:15:36 PM:995,11/8/2022 12:17:16 PM:316,01:39.3
5329,UDP,10.15.13.179,10.0.2.4,54793,31575,Sumedha,,,4,"5,888 Bytes","7,500 Bytes",0.1 KB/Sec,11/8/2022 12:15:36 PM:995,11/8/2022 12:17:16 PM:318,01:39.3
5330,UDP,10.15.13.179,10.0.2.4,54793,31576,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",,11/8/2022 12:15:36 PM:999,11/8/2022 12:15:37 PM:000,00:00.0
5331,UDP,10.15.13.179,10.0.2.4,54793,31577,Sumedha,,,1,"1,472 Bytes","3,000 Bytes",,11/8/2022 12:15:37 PM:001,11/8/2022 12:15:37 PM:001,00:00.0
5332,UDP,10.15.13.179,10.0.2.4,54793,31578,Sumedha,,,3,"4,416 Bytes","6,000 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:002,11/8/2022 12:17:16 PM:323,01:39.3
5333,UDP,10.15.13.179,10.0.2.4,54793,31579,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:002,11/8/2022 12:17:16 PM:329,01:39.3
5334,UDP,10.15.13.179,10.0.2.4,54793,31580,Sumedha,,,1,"1,472 Bytes","3,000 Bytes",,11/8/2022 12:15:37 PM:003,11/8/2022 12:15:37 PM:003,00:00.0
5335,UDP,10.15.13.179,10.0.2.4,54793,31581,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:004,11/8/2022 12:17:16 PM:330,01:39.3
5336,UDP,10.15.13.179,10.0.2.4,54793,31582,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:005,11/8/2022 12:17:16 PM:330,01:39.3
5337,UDP,10.15.13.179,10.0.2.4,54793,31583,Sumedha,,,3,"4,416 Bytes","6,000 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:006,11/8/2022 12:17:16 PM:331,01:39.3
5338,UDP,10.15.13.179,10.0.2.4,54793,31584,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:008,11/8/2022 12:17:16 PM:331,01:39.3
5339,UDP,10.15.13.179,10.0.2.4,54793,31585,Sumedha,,,3,"4,416 Bytes","6,000 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:009,11/8/2022 12:17:16 PM:335,01:39.3
5340,UDP,10.15.13.179,10.0.2.4,54793,31586,Sumedha,,,1,"1,472 Bytes","3,000 Bytes",,11/8/2022 12:15:37 PM:010,11/8/2022 12:15:37 PM:010,00:00.0
5341,UDP,10.15.13.179,10.0.2.4,54793,31588,Sumedha,,,3,"4,416 Bytes","6,000 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:011,11/8/2022 12:17:16 PM:344,01:39.3
5342,UDP,10.15.13.179,10.0.2.4,54793,31589,Sumedha,,,3,"4,416 Bytes","6,000 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:011,11/8/2022 12:17:16 PM:346,01:39.3
5343,UDP,10.15.13.179,10.0.2.4,54793,31590,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:012,11/8/2022 12:17:16 PM:347,01:39.3
5344,UDP,10.15.13.179,10.0.2.4,54793,31591,Sumedha,,,3,"4,416 Bytes","6,000 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:013,11/8/2022 12:17:16 PM:350,01:39.3
5345,UDP,10.15.13.179,10.0.2.4,54793,31593,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",191.7 KB/Sec,11/8/2022 12:15:37 PM:014,11/8/2022 12:15:37 PM:021,00:00.0
5346,UDP,10.15.13.179,10.0.2.4,54793,31594,Sumedha,,,4,"5,888 Bytes","7,500 Bytes",0.1 KB/Sec,11/8/2022 12:15:37 PM:023,11/8/2022 12:17:16 PM:354,01:39.3
5347,UDP,10.15.13.179,10.0.2.4,54793,31595,Sumedha,,,3,"4,416 Bytes","6,000 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:025,11/8/2022 12:17:16 PM:358,01:39.3
5348,UDP,10.15.13.179,10.0.2.4,54793,31596,Sumedha,,,1,"1,472 Bytes","3,000 Bytes",,11/8/2022 12:15:37 PM:026,11/8/2022 12:15:37 PM:026,00:00.0
5349,UDP,10.15.13.179,10.0.2.4,54793,31597,Sumedha,,,4,"5,888 Bytes","7,500 Bytes",0.1 KB/Sec,11/8/2022 12:15:37 PM:027,11/8/2022 12:17:16 PM:362,01:39.3
5350,UDP,10.15.13.179,10.0.2.4,54793,31598,Sumedha,,,3,"4,416 Bytes","6,000 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:028,11/8/2022 12:17:16 PM:363,01:39.3
5351,UDP,10.15.13.179,10.0.2.4,54793,31599,Sumedha,,,1,"1,472 Bytes","3,000 Bytes",,11/8/2022 12:15:37 PM:030,11/8/2022 12:15:37 PM:030,00:00.0
5352,UDP,10.15.13.179,10.0.2.4,54793,31600,Sumedha,,,3,"4,416 Bytes","6,000 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:030,11/8/2022 12:17:16 PM:364,01:39.3
5353,UDP,10.15.13.179,10.0.2.4,54793,31601,Sumedha,,,3,"4,416 Bytes","6,000 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:032,11/8/2022 12:17:16 PM:367,01:39.3
5354,UDP,10.15.13.179,10.0.2.4,54793,31602,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:036,11/8/2022 12:17:16 PM:370,01:39.3
5355,UDP,10.15.13.179,10.0.2.4,54793,31603,Sumedha,,,4,"5,888 Bytes","7,500 Bytes",0.1 KB/Sec,11/8/2022 12:15:37 PM:037,11/8/2022 12:17:16 PM:373,01:39.3
5356,UDP,10.15.13.179,10.0.2.4,54793,31604,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",,11/8/2022 12:15:37 PM:039,11/8/2022 12:15:37 PM:040,00:00.0
5357,UDP,10.15.13.179,10.0.2.4,54793,31605,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:041,11/8/2022 12:17:16 PM:376,01:39.3
5358,UDP,10.15.13.179,10.0.2.4,54793,31606,Sumedha,,,3,"4,416 Bytes","6,000 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:042,11/8/2022 12:17:16 PM:377,01:39.3
5359,UDP,10.15.13.179,10.0.2.4,54793,31607,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:044,11/8/2022 12:17:16 PM:379,01:39.3
5360,UDP,10.15.13.179,10.0.2.4,54793,31608,Sumedha,,,3,"4,416 Bytes","6,000 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:045,11/8/2022 12:17:16 PM:381,01:39.3
5361,UDP,10.15.13.179,10.0.2.4,54793,31609,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:047,11/8/2022 12:17:16 PM:383,01:39.3
5362,UDP,10.15.13.179,10.0.2.4,54793,31610,Sumedha,,,2,"2,944 Bytes","4,500 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:048,11/8/2022 12:17:16 PM:384,01:39.3
5363,UDP,10.15.13.179,10.0.2.4,54793,31611,Sumedha,,,3,"4,416 Bytes","6,000 Bytes",0.0 KB/Sec,11/8/2022 12:15:37 PM:051,11/8/2022 12:17:16 PM:387,01:39.3
