Index,Protocol,Local Address,Remote Address,Local Port,Remote Port,Local Host,Remote Host,Service Name,Packets,Data Size,Total Size,Data Speed,Capture Time,Last Packet Time,Duration
485,TCP,10.0.2.15,172.217.136.231,50538,443,,bom07s48-in-f7.1e100.net,https,15,"5,759 Bytes","6,916 Bytes",72.1 KB/Sec,10/25/2022 9:32:35 AM:870,10/25/2022 9:33:37 AM:838,01:02.0
486,TCP,10.0.2.15,173.194.52.231,50539,443,,bom07s42-in-f7.1e100.net,https,15,"5,759 Bytes","6,916 Bytes",72.1 KB/Sec,10/25/2022 9:32:37 AM:189,10/25/2022 9:33:40 AM:916,01:03.7
487,TCP,10.0.2.15,172.217.136.231,50541,443,,bom07s48-in-f7.1e100.net,https,15,"5,759 Bytes","6,916 Bytes",119.7 KB/Sec,10/25/2022 9:32:37 AM:190,10/25/2022 9:33:26 AM:022,00:48.8
488,TCP,10.0.2.15,173.194.14.170,50540,443,,bom07s34-in-f10.1e100.net,https,373,"333,267 Bytes","348,744 Bytes",3462.3 KB/Sec,10/25/2022 9:32:37 AM:353,10/25/2022 9:33:48 AM:708,01:11.4
489,TCP,10.0.2.15,142.250.195.98,50543,443,,maa03s39-in-f2.1e100.net,https,15,"5,251 Bytes","6,408 Bytes",165.4 KB/Sec,10/25/2022 9:32:38 AM:565,10/25/2022 9:33:09 AM:276,00:30.7
490,TCP,10.0.2.15,173.194.14.170,50542,443,,bom07s34-in-f10.1e100.net,https,15,"5,759 Bytes","6,916 Bytes",90.7 KB/Sec,10/25/2022 9:32:38 AM:568,10/25/2022 9:33:28 AM:413,00:49.8
491,UDP,10.0.2.15,183.82.15.178,65086,443,,broadband.actcorp.in,https,10,"11,646 Bytes","13,204 Bytes",366.9 KB/Sec,10/25/2022 9:32:38 AM:576,10/25/2022 9:33:04 AM:902,00:26.3
492,TCP,10.0.2.15,123.176.33.76,50545,443,,broadband.actcorp.in,https,15,"5,549 Bytes","6,706 Bytes",117.8 KB/Sec,10/25/2022 9:32:40 AM:138,10/25/2022 9:33:28 AM:949,00:48.8
493,TCP,10.0.2.15,142.250.195.98,50544,443,,maa03s39-in-f2.1e100.net,https,14,"5,252 Bytes","6,369 Bytes",341.9 KB/Sec,10/25/2022 9:32:40 AM:218,10/25/2022 9:33:09 AM:964,00:29.7
494,TCP,10.0.2.15,123.176.33.76,50546,443,,broadband.actcorp.in,https,15,"5,549 Bytes","6,706 Bytes",117.8 KB/Sec,10/25/2022 9:32:40 AM:224,10/25/2022 9:33:29 AM:017,00:48.8
495,TCP,10.0.2.15,142.250.76.33,50547,443,,maa03s36-in-f1.1e100.net,https,13,"7,625 Bytes","8,702 Bytes",120.1 KB/Sec,10/25/2022 9:32:40 AM:357,10/25/2022 9:33:38 AM:066,00:57.7
496,TCP,10.0.2.15,123.176.33.76,50548,443,,broadband.actcorp.in,https,15,"5,549 Bytes","6,706 Bytes",117.8 KB/Sec,10/25/2022 9:32:41 AM:174,10/25/2022 9:33:30 AM:528,00:49.4
497,TCP,10.0.2.15,142.250.76.33,50549,443,,maa03s36-in-f1.1e100.net,https,13,"7,625 Bytes","8,702 Bytes",120.1 KB/Sec,10/25/2022 9:32:41 AM:194,10/25/2022 9:33:38 AM:463,00:57.3
498,TCP,10.0.2.15,41.63.105.128,50550,80,,https-41-63-105-128.hyd.llnw.net,http,3,321 Bytes,802 Bytes,20.9 KB/Sec,10/25/2022 9:32:45 AM:183,10/25/2022 9:33:02 AM:448,00:17.3
499,TCP,10.0.2.15,13.107.4.50,50551,80,,,http,3,425 Bytes,"1,010 Bytes",,10/25/2022 9:32:45 AM:185,10/25/2022 9:32:53 AM:233,00:08.0
500,UDP,10.0.2.15,183.82.15.178,64869,443,,broadband.actcorp.in,https,5,"6,250 Bytes","7,668 Bytes",,10/25/2022 9:33:03 AM:011,10/25/2022 9:33:06 AM:835,00:03.8
501,UDP,10.0.2.15,192.168.0.1,58086,53,,,domain,6,430 Bytes,655 Bytes,,10/25/2022 9:33:04 AM:068,10/25/2022 9:33:13 AM:056,00:09.0
502,UDP,10.0.2.15,239.255.255.250,59967,1900,,,ssdp,8,"1,400 Bytes","1,827 Bytes",,10/25/2022 9:33:08 AM:813,10/25/2022 9:33:11 AM:870,00:03.1
503,UDP,10.0.2.15,192.168.0.1,55061,53,,,domain,5,375 Bytes,595 Bytes,,10/25/2022 9:33:09 AM:510,10/25/2022 9:33:13 AM:534,00:04.0
504,UDP,10.0.2.15,192.168.0.1,64702,53,,,domain,4,346 Bytes,540 Bytes,,10/25/2022 9:33:10 AM:173,10/25/2022 9:33:12 AM:669,00:02.5
505,UDP,10.0.2.15,142.250.76.33,51638,443,,maa03s36-in-f1.1e100.net,https,33,"20,438 Bytes","22,640 Bytes",1247.4 KB/Sec,10/25/2022 9:33:10 AM:702,10/25/2022 9:33:17 AM:821,00:07.1
506,UDP,10.0.2.15,192.168.0.1,61024,53,,,domain,4,350 Bytes,526 Bytes,,10/25/2022 9:33:11 AM:462,10/25/2022 9:33:12 AM:970,00:01.5
507,TCP,10.0.2.15,173.194.52.231,50557,443,,bom07s42-in-f7.1e100.net,https,22,"10,792 Bytes","12,229 Bytes",658.7 KB/Sec,10/25/2022 9:33:12 AM:999,10/25/2022 9:33:21 AM:638,00:08.6
508,UDP,10.0.2.15,142.250.195.246,54257,443,,maa03s43-in-f22.1e100.net,https,34,"18,735 Bytes","20,965 Bytes",1143.5 KB/Sec,10/25/2022 9:33:13 AM:319,10/25/2022 9:33:25 AM:654,00:12.3
509,TCP,10.0.2.15,142.250.76.33,50560,443,,maa03s36-in-f1.1e100.net,https,18,"8,411 Bytes","9,688 Bytes",513.4 KB/Sec,10/25/2022 9:33:13 AM:322,10/25/2022 9:33:23 AM:340,00:10.0
510,TCP,10.0.2.15,183.82.15.178,50556,443,,broadband.actcorp.in,https,15,"5,549 Bytes","6,706 Bytes",174.8 KB/Sec,10/25/2022 9:33:13 AM:323,10/25/2022 9:33:27 AM:439,00:14.1
511,TCP,10.0.2.15,204.79.197.239,50562,443,,,https,35,"10,711 Bytes","12,668 Bytes",653.7 KB/Sec,10/25/2022 9:33:13 AM:324,10/25/2022 9:33:25 AM:666,00:12.3
512,TCP,10.0.2.15,204.79.197.239,50561,443,,,https,17,"7,031 Bytes","8,268 Bytes",429.1 KB/Sec,10/25/2022 9:33:13 AM:326,10/25/2022 9:33:24 AM:375,00:11.0
513,TCP,10.0.2.15,173.194.52.231,50558,443,,bom07s42-in-f7.1e100.net,https,18,"9,259 Bytes","10,536 Bytes",291.7 KB/Sec,10/25/2022 9:33:13 AM:329,10/25/2022 9:33:32 AM:151,00:18.8
514,UDP,10.0.2.15,192.168.0.1,56553,53,,,domain,4,342 Bytes,531 Bytes,20.9 KB/Sec,10/25/2022 9:33:13 AM:872,10/25/2022 9:33:15 AM:578,00:01.7
515,TCP,10.0.2.15,13.89.178.27,50563,443,,,https,23,"9,334 Bytes","10,811 Bytes",569.7 KB/Sec,10/25/2022 9:33:14 AM:033,10/25/2022 9:33:24 AM:715,00:10.7
516,TCP,10.0.2.15,173.194.52.231,50559,443,,bom07s42-in-f7.1e100.net,https,15,"5,759 Bytes","6,916 Bytes",374.9 KB/Sec,10/25/2022 9:33:15 AM:086,10/25/2022 9:33:27 AM:979,00:12.9
517,TCP,10.0.2.15,13.107.4.50,50564,80,,,http,7,"1,862 Bytes","2,607 Bytes",121.2 KB/Sec,10/25/2022 9:33:15 AM:596,10/25/2022 9:33:26 AM:867,00:11.3
518,UDP,10.0.2.15,192.168.0.1,54930,53,,,domain,5,191 Bytes,394 Bytes,,10/25/2022 9:33:16 AM:596,10/25/2022 9:33:22 AM:062,00:05.5
